,lat,temp,lon,humidity,clouds,wind,city,country
321,43.801,-12.47,87.6005,85,75,1.0,urumqi,CN
322,34.1667,-13.03,77.5833,67,2,1.7,leh,IN
323,37.4636,8.31,-122.4286,50,0,5.66,half moon bay,US
324,27.9095,22.03,-97.15,90,75,6.69,aransas pass,US
325,-33.0153,23.83,27.9116,92,99,4.65,east london,ZA
326,62.6946,-2.84,25.818,100,11,2.38,aanekoski,FI
327,9.15,15.15,39.0333,39,13,2.78,sendafa,ET
328,63.05,-30.61,179.3167,97,64,4.2,beringovskiy,RU
329,20.1986,26.37,1.0114,13,97,7.26,tessalit,ML
330,-19.55,23.96,169.2667,76,37,4.09,isangel,VU
331,-2.8833,25.71,108.2667,85,100,4.15,manggar,ID
332,-43.3002,13.03,-65.1023,45,85,9.26,rawson,AR
333,-19.0595,24.9,-169.9187,86,100,4.95,alofi,NU
334,0.5167,28.84,25.2,28,24,0.74,kisangani,CD
335,49.8834,-8.98,-106.5512,71,65,3.47,gravelbourg,CA
336,67.5447,-46.66,133.385,100,59,0.55,verkhoyansk,RU
337,-28.8667,17.79,153.5667,96,4,1.65,ballina,AU
338,-34.0527,20.39,23.3716,86,87,2.84,plettenberg bay,ZA
339,4.9333,29.02,-52.3333,79,75,6.17,cayenne,GF
340,17.4924,22.17,44.1277,34,9,3.69,najran,SA
341,66.8333,-18.05,70.8333,98,100,1.57,yar-sale,RU
342,50.6996,3.59,-127.4199,79,100,3.99,port hardy,CA
343,0.1943,25.79,10.0951,85,100,1.67,kango,GA
344,36.2081,19.51,-86.2911,81,75,8.75,lebanon,US
345,56.2167,-23.95,88.1167,100,74,1.63,suslovo,RU
346,71.6872,-25.67,128.8694,98,100,3.71,tiksi,RU
347,6.9538,24.57,-71.8752,83,99,1.45,saravena,CO
348,52.0428,-7.27,33.9453,92,49,3.43,druzhba,UA
349,25.2934,14.72,32.554,33,3,4.96,esna,EG
350,-19.8,26.39,-174.35,83,100,3.56,pangai,TO
351,20.8624,17.74,92.3058,54,0,2.05,teknaf,BD
352,59.3833,-24.91,143.3,75,23,7.94,okhotsk,RU
353,33.7333,-0.21,135.9833,75,2,3.27,shingu,JP
354,61.95,-14.15,159.2333,76,100,5.52,evensk,RU
355,18.217,27.47,-63.0578,69,40,5.66,the valley,AI
356,-19.9842,24.7,57.6142,72,19,0.89,cap malheureux,MU
357,-13.1256,21.24,38.9997,89,99,1.67,montepuez,MZ
358,42.4308,-10.08,130.6434,75,7,1.72,khasan,RU
359,-20.5929,21.74,27.3121,82,100,2.91,kalakamati,BW
360,39.0062,15.79,-77.4286,55,75,6.69,sterling,US
361,-9.8756,30.11,-56.0861,67,51,1.04,alta floresta,BR
362,-8.7537,23.29,148.2534,95,97,1.27,popondetta,PG
363,36.6177,7.8,-121.9166,49,0,3.6,pacific grove,US
364,50.2334,-2.53,-63.5986,84,100,4.01,havre-saint-pierre,CA
365,-33.8667,15.82,121.9,77,23,2.84,esperance,AU
366,-23.8597,26.12,35.3472,83,5,3.98,maxixe,MZ
367,-22.4667,23.27,-68.9333,33,0,10.29,calama,CL
368,46.5168,5.16,-84.3333,93,100,3.09,sault sainte marie,CA
369,60.0973,1.92,19.9348,93,100,5.14,maarianhamina,AX
370,24.4667,24.01,54.3667,57,0,2.06,abu dhabi,AE
371,-32.7167,19.01,152.15,86,38,1.79,nelson bay,AU
372,-17.7125,30.76,-39.2481,56,68,5.96,caravelas,BR
373,8.5769,23.76,124.37,85,100,3.87,matangad,PH
374,-28.7667,21.23,114.6,78,40,5.66,geraldton,AU
375,64.2539,2.01,-15.2082,75,100,2.06,hofn,IS
376,31.2089,14.55,16.5887,66,72,4.42,surt,LY
377,22.3384,19.9,90.7419,65,0,3.06,lalmohan,BD
378,-1.95,27.17,18.2667,66,86,0.94,inongo,CD
379,10.4731,32.75,-68.0125,83,70,8.07,puerto cabello,VE
380,50.7214,-24.72,136.6319,95,24,1.48,solnechnyy,RU
381,-33.0117,18.88,17.9442,82,0,12.77,saldanha,ZA
382,-0.3167,22.73,102.35,98,99,0.87,japura,ID
383,5.65,22.48,36.65,29,27,1.08,jinka,ET
384,-5.795,31.12,-35.2094,62,40,7.72,natal,BR
385,20.931,21.99,-17.0347,64,0,9.26,nouadhibou,MR
386,43.213,15.16,-8.691,67,73,0.95,carballo,ES
387,62.2266,5.51,-6.589,76,100,6.59,klaksvik,FO
388,7.9803,24.71,49.8164,66,26,6.93,eyl,SO
389,14.9215,23.3,-23.5087,60,40,11.83,praia,CV
390,49.1831,-1.99,-119.5524,75,28,0.94,oliver,CA
391,28.6585,14.51,-17.9182,69,20,9.77,los llanos de aridane,ES
392,-9.4061,35.8,-38.2147,26,100,2.97,paulo afonso,BR
393,25.5198,16.6,90.2201,33,0,1.46,tura,IN
394,4.1213,28.37,43.8894,21,29,4.86,xuddur,SO
395,50.0351,-1.77,23.797,93,10,0.79,kozulka,UA
396,38.7333,16.53,-27.0667,75,78,5.12,praia da vitoria,PT
397,40.5992,18.08,-77.5714,66,0,5.14,lewistown,US
398,-34.0033,22.16,24.7314,89,100,2.79,kruisfontein,ZA
399,7.2427,28.95,16.4406,17,16,2.26,paoua,CF
400,6.1,24.7,100.3,72,29,4.99,kuala kedah,MY
401,-12.2333,25.34,136.7667,94,40,2.57,nhulunbuy,AU
402,39.05,14.76,-27.9833,69,60,3.36,lagoa,PT
403,37.7167,16.23,-25.4333,65,59,1.67,vila franca do campo,PT
404,29.0464,7.3,111.6783,50,69,1.37,changde,CN
405,32.7,16.12,-16.7667,70,40,4.12,machico,PT
406,13.5167,26.82,35.7667,18,0,6.31,doka,SD
407,21.4447,18.88,-157.8378,93,20,3.6,ahuimanu,US
408,49.6835,-11.23,-83.6665,95,100,5.01,hearst,CA
409,33.0833,13.68,-16.3333,63,40,11.83,camacha,PT
410,60.5544,-3.97,-151.2583,93,100,0.0,kenai,US
411,43.0369,-0.98,74.7114,100,100,4.0,georgiyevka,KZ
412,-40.8135,22.79,-62.9967,30,71,9.54,viedma,AR
413,44.5667,0.54,28.7167,67,39,4.11,istria,RO
414,69.7008,-41.15,170.3133,99,58,1.33,pevek,RU
415,28.3667,13.25,129.4833,70,70,6.79,naze,JP
416,-2.4431,29.07,-54.7083,84,75,2.57,santarem,BR
417,38.3645,-0.36,-98.7648,73,100,8.23,great bend,US
418,-6.2167,24.89,149.55,89,100,1.88,kandrian,PG
419,-26.3044,29.5,-48.8456,59,97,2.28,joinville,BR
420,-9.1667,30.56,-60.6333,64,100,1.23,aripuana,BR
421,-8.7676,25.18,160.7034,86,68,1.29,auki,SB
422,-17.0,21.33,145.4333,92,100,1.96,mareeba,AU
423,41.1415,12.71,-73.3579,60,75,7.72,westport,US
424,46.4154,11.25,3.9054,43,0,1.54,saint-francois,FR
425,11.472,25.1,49.8728,75,6,3.3,qandala,SO
426,-9.4333,26.0,159.95,84,86,0.69,honiara,SB
427,-35.6566,34.36,-63.7568,14,25,4.32,general pico,AR
428,50.1544,10.77,-5.0711,85,40,2.57,falmouth,GB
429,39.9612,18.75,-82.9988,51,40,14.4,columbus,US
430,52.4752,10.3,1.7516,86,63,4.48,lowestoft,GB
431,54.4333,-14.44,113.6,96,100,1.26,bagdarin,RU
432,3.5167,26.06,39.0584,27,14,4.59,moyale,KE
433,26.5921,13.56,12.7805,35,26,4.94,awbari,LY
434,62.6667,-46.63,135.6,100,57,0.71,khandyga,RU
435,-5.5,28.82,-45.25,76,94,1.46,barra do corda,BR
436,64.1835,-9.66,-51.7216,37,75,6.17,nuuk,GL
437,37.1666,5.93,-119.8343,89,0,1.72,madera,US
438,1.0,26.66,-52.0,92,97,1.61,amapa,BR
439,10.7,19.44,37.0667,45,92,4.36,bure,ET
440,5.65,20.68,37.3667,24,65,0.63,gidole,ET
441,46.8289,5.66,12.769,82,0,1.55,lienz,AT
442,33.9137,18.66,-98.4934,38,0,3.6,wichita falls,US
